City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,dubuque,42.4833,-90.8668,2.5,75,100,11.32,US,2023-04-16 21:00:50
119,hualmay,-11.0964,-77.6139,25.5,75,100,6.06,PE,2023-04-16 20:54:54
120,shar,49.5886,81.0453,0.64,79,100,6.77,KZ,2023-04-16 21:03:46
121,lamu,-2.2717,40.902,28.12,78,51,4.56,KE,2023-04-16 21:03:46
122,cape town,-33.9258,18.4232,19.1,81,0,5.14,ZA,2023-04-16 21:03:46
123,pingliang,35.5392,106.6861,17.57,60,99,1.43,CN,2023-04-16 21:03:47
124,bluff,-46.6,168.3333,11.56,70,66,3.98,NZ,2023-04-16 21:03:47
125,mahibadhoo,3.7833,72.9667,28.06,72,96,1.23,MV,2023-04-16 21:02:01
126,gizo,-8.103,156.8419,28.12,59,88,2.21,SB,2023-04-16 21:03:47
127,gagra,43.3283,40.2239,10.51,70,99,1.85,GE,2023-04-16 21:03:47
128,richards bay,-28.783,32.0377,17.86,86,0,2.62,ZA,2023-04-16 20:54:58
129,lagoa,39.05,-27.9833,15.11,69,7,7.58,PT,2023-04-16 21:03:48
130,homer,59.6425,-151.5483,3.93,72,100,3.09,US,2023-04-16 20:54:52
131,baturaja,-4.1333,104.1667,23.22,100,100,0.62,ID,2023-04-16 21:03:48
132,lucapa,-8.4192,20.7447,19.33,97,100,2.05,AO,2023-04-16 21:03:48
133,meulaboh,4.1363,96.1285,25.02,89,93,1.59,ID,2023-04-16 21:03:48
134,padang,-0.9492,100.3543,24.03,89,100,1.18,ID,2023-04-16 21:00:31
135,cherskiy,68.75,161.3,-9.43,75,30,2.16,RU,2023-04-16 20:54:49
136,mashhad,36.297,59.6062,15.08,44,0,4.12,IR,2023-04-16 21:00:19
137,shingu,33.7333,135.9833,9.89,81,1,3.0,JP,2023-04-16 20:54:25
138,denpasar,-8.65,115.2167,24.84,94,20,1.54,ID,2023-04-16 21:01:53
